,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31,1984-12-31,1983-12-31,1982-12-31,1981-12-31,1980-12-31,1979-12-31,1978-12-31,1977-12-31,1976-12-31,1975-12-31,1974-12-31,1973-12-31,1972-12-31,1971-12-31,1970-12-31,1969-12-31,1968-12-31,1967-12-31,1966-12-31,1965-12-31
NUC_CONSUM_O_DEU,,,,17.2195320632,17.2703081866,19.1505634249,20.7689530253,21.9778702991,22.0143005838,22.5053174639,24.4311958637,31.8043173281,30.5317463909,33.6645245961,31.7993392768,37.8684889351,36.8916595013,37.8026428927,37.3489613975,37.2996334344,38.7620491469,38.3776078201,38.4676652939,36.56604969,38.5409784134,36.5689912658,34.8689867403,34.2127890664,34.7332217043,35.9324795221,33.3529438385,34.5069466443,36.59,35.491,32.074,29.531,31.376,23.609,17.666,16.844,14.831,12.581,11.783,9.929,9.337,6.706,5.463,3.272,2.739,2.155,1.407,1.469,1.206,0.454,0.342,0.077,0.031
OIL_CONSUM_DEU,95.49159915353398,96.48238495109511,106.55064049614812,106.00124644025972,111.3047904040404,109.02100000000002,106.68699999999998,106.90600000000002,110.00799999999998,107.69,108.445,111.99899999999998,110.56342282600863,115.62875829908754,108.84754659624537,120.3169212085411,120.3922968468222,122.91473484612968,124.3400011958988,126.88104809373908,131.23901737375076,129.53001760532388,132.26601780334155,136.4911681732184,136.362136640404,137.30106056705029,135.1100235114854,135.10801545253867,136.31200150473595,134.333001724846,133.14200000000002,127.277,121.60899999999998,129.37,129.486,133.263,126.33799999999998,122.471,123.096,125.939,133.44799999999998,147.31700000000004,163.161,158.11800000000002,152.471,154.035,142.617,146.979,162.23,152.23599999999993,144.039,138.74900000000005,126.32500000000002,112.366,100.073,96.472,86.27400000000002
OIL_CONSUM_D_DEU,2045.1801804697343,2049.323924541936,2269.879507964853,2254.685576566269,2374.47995696693,2307.498743169399,2269.128602739726,2272.6654794520546,2336.157753424657,2276.32543715847,2293.5989589041096,2372.844657534247,2338.871716253785,2434.256297503355,2304.8310507283973,2541.800937577306,2549.9289985679284,2597.08896293347,2632.047284716178,2685.363065148749,2779.654081118303,2740.7996757806445,2803.271733734049,2895.901218006053,2893.6321077737366,2899.1445405196587,2859.587850399126,2858.500891166954,2881.341784178987,2827.032658107517,2810.1761917808217,2684.6247671232877,2571.5056986301365,2723.1808469945354,2719.68104109589,2778.549616438356,2643.495835616439,2555.1743715846987,2564.03789041096,2608.492986301369,2753.703561643835,3014.44199453552,3336.6006575342462,3229.590410958904,3072.845041095891,3097.394098360656,2874.8489315068496,2956.8066575342464,3249.3259726027395,3036.930928961749,2888.109123287671,2765.050356164384,2520.928246575342,2233.0233606557376,1997.30597260274,1915.9679452054795,1708.631506849315
OIL_REF_CAP_DEU,2120.619205479452,2061.5373972602742,2062.441095890411,2061.5373972602742,2068.8673972602737,2051.496301369863,2049.488082191781,2076.6191232876718,2061.1357534246577,2096.5205753424657,2077.4826575342463,2091.158630136986,2362.2682191780823,2366.2846575342464,2390.383287671233,2390.383287671233,2322.1038356164386,2320.095616438356,2304.0,2286.0,2274.0,2262.0,2240.0,2206.0,2170.0,2097.9999999999995,2104.0,2272.0,2248.0,2219.0,2209.0,2024.0,2018.0,2077.0,2061.0,2158.0,2198.0,2553.0,2734.9999999999995,2976.0,3333.0,3422.0,3492.0,3603.0,3505.0,3452.0,3461.0,3268.0000000000005,3192.0,2918.0,2773.0,2643.0,2502.0,2435.9999999999995,2324.0000000000005,1911.0,1747.0
PRIMARY_CONSUM_O_DEU,12.641713802531877,12.356541053591837,13.302726634360452,13.654258362229868,14.005308187887014,13.825842507656803,13.602316191231566,13.348979909089046,13.926669715511077,13.542893116739004,13.358110761662864,13.849740679331685,13.291848756957442,14.164780573705857,14.01632897857269,14.624583792776196,14.2654728242709,14.435615532061504,14.437695430746896,14.442202579463446,14.626077307708377,14.357445154756372,14.268817276836934,14.470673958452664,14.591473661927068,14.781044499901654,14.309261996272095,14.235018939167842,14.369495404120643,14.433615309187315,14.726313898989249,15.093509452924735,15.336682963270889,15.500755576545869,15.448241313171865,15.316833720118964,15.445183252510212,15.001167761342794,14.466641713981442,14.26496691806904,14.786040196626583,15.261236908449884,15.778471107126087,14.947836361285974,14.425885731178951,14.460856175346592,13.55244427043817,14.104898906397946,14.354475392367291,13.572801491315024,13.116804672394045,12.99965971758953,12.31120081333954,11.413485674333703,10.689952909581551,10.71720463209808,10.689455901695965
SOLAR_CAP_DEU,58459.0,53719.0,48912.0,45156.0,42291.0,40677.0,39222.0,37898.0,36708.0,34075.0,25914.0,18004.0,10564.0,6120.0,4170.0,2899.0,2056.0,1105.0,435.0,260.0,195.0,114.0,70.0,54.0,42.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR_CONSUM_DEU,,,,,39.895,38.098,38.726,36.056,31.01,26.38,19.599,11.729,6.583,4.42,3.075,2.22,1.282,0.557,0.313,0.162,0.076,0.06,0.03,0.035,0.018,0.012,0.007,0.007,0.003,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLAR_CONSUM_O_DEU,,,,10.4457618681,8.9154636376,8.62062723447,8.76272797212,8.15857356202,7.01678960945,5.96913608182,4.43476490021,2.6539801783,1.48956871974,1.00013576504,0.695795809386,0.502330633118,0.290084626872,0.126035208399,0.0708240937684,0.036656559714,0.0171969045572,0.0135765035978,0.00678825179889,0.0079196270987,0.00407295107933,0.00271530071955,0.00158392541974,0.00158392541974,0.000678825179889,0.000905100239852,0.000226275059963,0.000226275059963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIND_CAP_DEU,63760.0,62188.0,60742.0,58721.0,55580.0,49435.0,44580.0,38614.0,33477.0,30979.0,28712.0,26903.0,25732.0,22794.0,22116.0,20474.0,18248.0,16419.0,14381.0,12001.0,8754.0,6095.0,4435.0,2877.0,2089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIND_CONSUM_DEU,,,,,106.614,79.924,80.624,58.497,52.737,51.68,49.857,38.547,38.648,40.574,39.713,30.71,27.229,25.509,18.713,15.786,10.509,9.513,5.528,4.489,2.966,2.032,1.5,0.909,0.6,0.275,0.1,0.071,0.026,0.008,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIND_CONSUM_O_DEU,,,,25.2500339413,23.9156899127,18.0848078925,18.2432004344,13.2364121826,11.9330678373,11.6938950989,11.2813956646,8.72222473639,8.74507851745,9.18088428293,8.98606145631,6.94890709146,6.16124360773,5.77205050459,4.23428519709,3.57197809657,2.37792460515,2.15255464543,1.25084853147,1.01574874417,0.67113182785,0.459790921845,0.339412589944,0.205684029506,0.135765035978,0.0622256414898,0.0226275059963,0.0160655292574,0.00588315155904,0.0018102004797,0.000452550119926,0.000226275059963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
