Date,BIOFUEL_PROD_D_CHN,BIOFUEL_PROD_O_CHN,C02_EMMISSIONS_CHN,COAL_CONSUM_O_CHN,COAL_PROD_CHN,COAL_PROD_O_CHN,ELEC_GEN_CHN,GAS_CONSUM_CHN,GAS_CONSUM_D_CHN,GAS_CONSUM_O_CHN,GAS_PROD_CHN,GAS_PROD_D_CHN,GAS_PROD_O_CHN,GAS_RESERVES_CHN,GEO_CAP_CHN,GEO_CONSUM_CHN,HYDRO_CONSUM_CHN,HYDRO_CONSUM_O_CHN,NUC_CONSUM_CHN,NUC_CONSUM_O_CHN,OIL_CONSUM_CHN,OIL_CONSUM_D_CHN,OIL_PROD_CHN,OIL_PROD_D_CHN,OIL_REF_CAP_CHN,OIL_REF_THR_CHN,OIL_RESERVES_CHN,PRIMARY_CONSUM_O_CHN,SOLAR_CAP_CHN,SOLAR_CONSUM_CHN,SOLAR_CONSUM_O_CHN,WIND_CAP_CHN,WIND_CONSUM_CHN,WIND_CONSUM_O_CHN
1982-12-31,,,1512.362049749623,320.278406,666.3,333.15,,12.023844641101276,1.16333702764989,11.093121954715,12.023844641101276,1.16333702764989,11.093121954715,0.8658579154375615,,0.0,74.4138572,16.838,0.0,0.0,77.816,1549.6022151621178,102.12,2050.7934246575346,2185.481685838854,1447.0,13.2588705,17.916732915734507,,0.0,0.0,,0.0,0.0
1981-12-31,,,1448.5327936322935,302.682289,621.6,310.8,,12.840216322517204,1.2423230286889857,11.846301232445,12.840216322517204,1.2423230286889857,11.846301232445,0.7049016715830876,,0.0,65.5131856,14.824,0.0,0.0,78.748,1561.8233363338377,101.22,2032.7194520547944,1977.8609256841632,1435.0,13.290462799999998,17.14985924127767,,0.0,0.0,,0.0,0.0
1980-12-31,,,1471.2097352184214,304.300878,,,,14.382251720747297,1.387716844472042,13.26897320149,14.382251720747297,1.387716844472042,13.26897320149,0.7083284169124877,,0.0,58.2211756,13.174,0.0,0.0,83.14500000000001,1642.9648452347346,105.95,2121.894808743169,1972.397221469566,1510.0,13.3526212,17.37912239339829,,0.0,0.0,,0.0,0.0
1979-12-31,,,1458.4542207472805,292.58,,,,14.624139626352012,1.4149220679966392,13.492137431929,14.624139626352012,1.4149220679966392,13.492137431929,,,0.0,48.5559478,10.987,0.0,0.0,91.1,1827.100383561644,106.15,2131.7246575342465,1748.3853486710834,,,17.178572642484156,,0.0,0.0,,0.0,0.0
1978-12-31,,,1418.532586747363,282.82,,,,13.838003933136672,1.3388614744034355,12.766853683004,13.838003933136672,1.3388614744034355,12.766853683004,,,0.0,43.2261514,9.781,0.0,0.0,91.25,1819.061232876712,104.05,2089.5520547945207,1724.345050126857,,,16.675318015205825,,0.0,0.0,,0.0,0.0
1977-12-31,,,1293.548110576044,257.57,,,,12.215339233038346,1.1818646081405422,11.269793637145,12.215339233038346,1.1818646081405422,11.269793637145,,,0.0,46.1341166,10.439,0.0,0.0,82.4,1624.8955890410962,93.64,1880.4964383561648,1756.0345345715198,,,15.21054825558293,,0.0,0.0,,0.0,0.0
1976-12-31,,,1183.1413922532035,234.15,,,,10.179449360865288,0.9821962248891116,9.3914946976211,10.179449360865288,0.9821962248891116,9.3914946976211,,,0.0,44.194,10.0,0.0,0.0,78.03,1534.1262021857924,87.16,1745.5814207650271,1575.732295489814,,,13.949375658055668,,0.0,0.0,,0.0,0.0
1975-12-31,,,1131.272789022824,228.565,,,,8.919616519174038,0.8629951965382671,8.2291809974205,8.919616519174038,0.8629951965382671,8.2291809974205,,,0.0,43.6106392,9.868,0.0,0.0,68.25,1341.9964657534244,77.06,1547.5336986301372,1327.680124147104,,,13.249589529948327,,0.0,0.0,,0.0,0.0
1974-12-31,,,1006.768534520648,202.8,,,,7.589233038348081,0.7342772689190001,7.0017777300086,7.589233038348081,0.7342772689190001,7.0017777300086,,,0.0,41.674942,9.43,0.0,0.0,61.89,1216.7103561643837,64.85,1302.330136986301,1229.3334482843557,,,11.83234213373537,,0.0,0.0,,0.0,0.0
1973-12-31,,,987.0023005725692,204.965,,,,6.027040314650933,0.5831312175478913,5.5605087417598,6.027040314650933,0.5831312175478913,5.5605087417598,,,0.0,36.8268602,8.333,0.0,0.0,53.83,1058.3232328767122,53.61,1076.6063013698629,1020.6199472867452,,,11.472815063972597,,0.0,0.0,,0.0,0.0
1972-12-31,,,945.3767244375124,202.315,,,,4.878072763028515,0.4706762107389406,4.5004786471768,4.878072763028515,0.4706762107389406,4.5004786471768,,,0.0,32.9510464,7.456,0.0,0.0,44.175,864.5880327868853,45.67,914.6478142076502,875.2854151784613,,,10.86781164008193,,0.0,0.0,,0.0,0.0
1971-12-31,,,881.7011556436823,191.305,,,,3.769419862340216,0.3647007949212564,3.4776425910003,3.769419862340216,0.3647007949212564,3.4776425910003,,,0.0,29.0752326,6.579,0.0,0.0,38.42999999999999,753.2652876712328,39.41,791.4391780821919,768.1968125723573,,,10.080447048624896,,0.0,0.0,,0.0,0.0
1970-12-31,,,748.5071302628548,165.92,,,,2.892576204523107,0.2798639789903759,2.6686722556606,2.892576204523107,0.2798639789903759,2.6686722556606,,,0.0,24.0371166,5.439,0.0,0.0,28.191,554.2244657534247,30.65,615.5191780821917,605.3784269773627,,,8.502114260524122,,0.0,0.0,,0.0,0.0
1969-12-31,,,582.473700126301,130.405,,,,1.9754178957718775,0.1911266197983055,1.8225078819146,,,,,,0.0,23.2593022,5.263,0.0,0.0,20.377,400.5609315068493,21.74,436.58684931506855,539.813976402197,,,6.642670196667142,,0.0,0.0,,0.0,0.0
1968-12-31,,,476.6827903460292,107.99,,,,1.4110127826941985,0.1361460113707679,1.3017913442247,,,,,,0.0,22.870395,5.175,0.0,0.0,15.200000000000005,298.0057103825137,15.99,320.23688524590165,462.2293765549177,,,5.460105295725378,,0.0,0.0,,0.0,0.0
1967-12-31,,,475.920673797769,108.8,,,,1.4714847590953783,0.1423698290334316,1.3575824018343,,,,,,0.0,19.3834884,4.386,0.0,0.0,13.900000000000002,273.2941369863014,13.88,278.74082191780826,317.9875852895533,,,5.403846454714531,,0.0,0.0,,0.0,0.0
1966-12-31,,,530.3490445334894,122.4,,,,1.3505408062930184,0.1306681992498619,1.2460002866151,,,,,,0.0,22.4859072,5.088,0.0,0.0,14.074000000000002,276.6654794520548,14.55,292.1958904109589,317.9875852895533,,,6.009508456929774,,0.0,0.0,,0.0,0.0
1965-12-31,,,488.5254189209302,114.42,,,,1.1086529006882988,0.1072649396827224,1.0228360561766,,,,,,0.0,22.097,5.0,0.0,0.0,10.959999999999996,215.49350684931505,11.31,227.12958904109595,241.49572628519337,,,5.5302993244570375,,0.0,0.0,,0.0,0.0
