,Date,C02_EMMISSIONS_RUS,COAL_CONSUM_O_RUS,COAL_PROD_O_RUS,COAL_PROD_RUS,ELEC_GEN_RUS,GAS_CONSUM_D_RUS,GAS_CONSUM_O_RUS,GAS_CONSUM_RUS,GAS_PROD_D_RUS,GAS_PROD_O_RUS,GAS_PROD_RUS,GAS_RESERVES_RUS,GEO_CAP_RUS,GEO_CONSUM_O_RUS,GEO_CONSUM_RUS,HYDRO_CONSUM_O_RUS,HYDRO_CONSUM_RUS,NUC_CONSUM_O_RUS,NUC_CONSUM_RUS,OIL_CONSUM_D_RUS,OIL_CONSUM_RUS,OIL_PROD_D_RUS,OIL_PROD_RUS,OIL_REF_CAP_RUS,OIL_RESERVES_RUS,PRIMARY_CONSUM_O_RUS,SOLAR_CAP_RUS,SOLAR_CONSUM_O_RUS,SOLAR_CONSUM_RUS,WIND_CAP_RUS,WIND_CONSUM_O_RUS,WIND_CONSUM_RUS
18,2002-12-31,1475.5807946036766,103.6061446,122.57098,258.90771404036064,891.2860000000001,36.44424077140031,333.610860544,376.6749262536874,52.97583241038022,484.941177656,547.5396755162242,33.91055283867256,70.0,0.0392134678916,0.1733,36.6959315744,164.147,32.0471104675,141.6550282,2543.5475424657543,122.05935,7754.790855616438,383.695371,5389.000000000001,109.6772506,26.27445898664986,0.0,0.0,0.0,7.0,0.00140290537177,0.0062
19,2001-12-31,1466.0726901191213,103.1735189,128.38785,274.3250430677743,891.284,36.00826230514087,329.619910308,372.16880530973447,51.73907716935858,473.61991066,534.7570058997051,33.36157856138643,21.0,0.0258179843418,0.1141,39.3490066525,175.9318946,30.984975336,136.9262702,2627.68885066661,127.085607112915,7105.859497260273,351.6795818436638,5480.999999999999,111.295177,26.38176374400344,0.0,0.0,0.0,3.0,0.000701452685885,0.0031
20,2000-12-31,1452.76305630572,105.7658416,121.49538,262.21045466838774,877.764,35.333120453632176,324.325792648,366.1912979351032,51.81954380944551,475.65610976,537.0560471976402,33.15571320740412,23.0,0.0178983572431,0.0791,37.1263067385,165.3341734,29.577544463,130.5225596,2540.012897429632,123.24442147144242,6582.837881147541,326.6506254920858,5521.0,112.1120226,25.970725750178502,0.0,0.0,0.0,3.0,0.000429922613929,0.0019
21,1999-12-31,1445.8139798575903,101.9770101,117.7802,255.2031539482016,846.225,34.68249270004162,317.48380513806,358.4661143588495,52.67331673991449,482.17194688,544.4129793510324,32.94984785342183,20.0,0.0131239534778,0.0579999999999999,36.3153369236,160.9236122,27.5770466579,119.964613,2567.796824562685,125.684019101,6118.780054794522,304.76800000000003,5536.0,112.1120226,25.511534937253806,0.0,0.0,0.0,,0.0,0.0
22,1998-12-31,1445.305840369964,101.1565524,108.83541,235.45765418443096,827.158,34.78931990749535,318.46170221738,359.5702430123156,52.37080106944877,479.402716104,541.2862831858407,33.36404894563422,17.0,0.0131239534778,0.0579999999999999,35.8639181789,158.7271704,23.4690229443,104.1166446,2489.8136546048217,123.106438202,6109.998246575343,304.34000000000003,6028.000000000001,113.1119934,25.192608668108576,0.0,0.0,0.0,,0.0,0.0
23,1997-12-31,1463.6551904914495,108.0351006,116.0359682,250.3853657624503,834.131,33.419112556601185,305.91881358038,345.40825906297925,50.6535797635698,463.683259052,523.5376843657816,33.56744391536873,14.0,0.0128976784179,0.057,35.6233877902,157.529513,24.5503914559,108.3150746,2630.121662889316,128.35526517000002,6170.674849315068,307.42,6277.000000000001,113.1119934,25.23961932872501,0.0,0.0,0.0,,0.0,0.0
24,1996-12-31,1562.9458643087778,117.16569238,120.76006638,262.3534410286728,847.183,36.13703878519907,331.70502909138,374.5230810748524,53.292496595809865,489.176471784,552.3216814159292,33.42532819933628,11.0,0.0128976784179,0.057,34.9162782278,154.0293482,24.6698646875,109.0177592,2623.976476640437,129.55939708000002,6061.591967213114,302.873,6560.0,113.607231,26.687527940892664,0.0,0.0,0.0,,0.0,0.0
25,1995-12-31,1616.4181228902546,119.3762396,124.7136172,269.5747647058824,860.027,36.03500149620045,329.86468106878,372.44517223650433,52.36190354972919,479.32126814,541.1943215339232,33.70468748469027,11.0,0.0133502285378,0.059,39.8821559488,177.0323252,22.5216092682,99.3967254,3058.016887853699,150.59839757,6235.776931506849,310.749,6612.0,113.607231,27.727319450800763,,0.0,0.0,,0.0,0.0
26,1994-12-31,1726.2732529868408,123.9230573,131.3398003,278.30417647058823,875.914,37.28068308490557,341.26765992018,385.32010146069314,54.03463725701025,494.633485372,558.4831120943952,34.50941515340707,11.0,0.0138027786577,0.061,39.807666199,175.8346678,22.1342263656,97.845516,3485.981835549041,172.89033333,6370.724712328768,317.57800000000003,6619.0,115.07668300000002,29.2983272171863,,0.0,0.0,,0.0,0.0
27,1993-12-31,1895.209016670811,141.6912942,147.5766659,311.86205882352937,956.587,39.68291760069987,363.25773316851,410.1487572353244,55.01336442616408,503.592761412,568.5988938053097,34.73401425460177,11.0,0.0135765035978,0.06,39.4372539259,175.207113,26.9688192967,119.2044762,3928.3606849315056,196.228,7118.856273972602,354.875,6531.0,115.07668300000002,32.10886981645663,,0.0,0.0,,0.0,0.0
28,1992-12-31,2072.562784150016,156.9825061,163.6342241,349.0041764705882,1008.45,39.689907606254856,364.31712170503,411.34489664823,57.14346954329263,524.52488816,592.2330383480826,34.729896947522114,11.0,0.0142553287777,0.063,39.0537176992,172.6261834,27.0683803231,119.6464162,4698.916366120218,234.99700000000004,7978.186338797815,398.81,6606.0,116.149265,34.43983105434398,,0.0,0.0,,0.0,0.0
29,1991-12-31,2167.9206309801725,167.0602783,170.6435636,362.2358823529412,1068.1633000000002,41.11544083076476,376.3710618431,424.95481631681406,57.21105179690038,523.71040852,591.3134218289085,33.91055283867256,11.0,0.0147078788976,0.065,38.0354799294,168.1228148,27.1493415396,120.0043876,4917.050010511191,245.34743336591345,9263.695999999998,461.944,7138.000000000001,116.149265,35.77911514453122,,0.0,0.0,,0.0,0.0
30,1990-12-31,2233.920545829739,182.305538937,185.56114,405.1941176470589,1082.2,40.07440541651214,366.84141564785,414.1950383768436,58.01182857166258,531.04072528,599.5899705014749,,11.0,0.0147078788976,0.065,37.753,166.8456082,26.774,118.3250156,5042.281800306537,251.73382362381287,10342.44312328767,515.891,7138.000000000001,,36.27397139362932,,0.0,0.0,,0.0,0.0
31,1989-12-31,2290.0755327021293,196.807159969,192.345674534,422.8,1076.5,39.47827142624738,361.38440051234,408.0336059511061,54.79092643317456,501.556562312,566.2998525073745,,,0.0,0.0,36.142,159.7259548,30.85,136.33849,5111.449287671228,255.28983998962647,11070.06410958904,552.226,7138.000000000001,,36.92098611569458,,0.0,0.0,,0.0,0.0
32,1988-12-31,2291.762951069489,203.534127158,199.956536397,440.0,1065.5,38.79365797462432,356.09036820981,402.056194952286,52.33418996371738,480.380091672,542.3898230088495,,,0.0,0.0,36.413,160.9236122,30.505,134.813797,5000.701612021855,250.5622965427713,11372.755355191255,568.779,7138.0,,36.78502037422111,,0.0,0.0,,0.0,0.0
33,1987-12-31,2268.3293005924934,206.583335029,193.731041132,424.087,1047.3,36.86238248664812,337.43853302394,380.996692777581,48.42919983367476,443.321268052,500.54727138643057,,,0.0,0.0,36.776,162.5278544,28.217,124.7022098,5050.794876712329,252.4967714673477,11416.333424657534,569.4810000000001,7138.000000000001,,36.15344873015347,,0.0,0.0,,0.0,0.0
34,1986-12-31,2210.8047096220566,203.479017538,192.17340925,423.948,1001.4,34.85163577776856,319.03214217352,360.2143180525073,44.754524189488144,409.68325892,462.5671091445426,,,0.0,0.0,37.184,164.3309696,23.809,105.2214946,5006.31063013699,250.38409128151687,11246.881643835615,561.182,7138.000000000001,,35.008040375446875,,0.0,0.0,,0.0,0.0
35,1985-12-31,2172.398534797442,198.098453023,185.805669,409.25200000000007,962.0,34.45209353561527,315.37472941345,356.0847891773598,41.108320608404206,376.3058832728,424.8812241887905,,,0.0,0.0,36.142,159.7259548,22.473,99.3171762,4943.678383561641,247.3581001155825,10862.591671232878,542.306,7071.999999999999,,34.398499537384346,,0.0,0.0,,0.0,0.0
